"","Source","Value"
"1","Information from the government",3.82295940491678
"2","Face-to-face interactions friends/family",4.00520693811947
"3","Phonecalls/long-range interactions friends/family",4.7955351936693
"4","Face-to-face interactions colleagues",3.03265347642541
"5","Phonecalls/long-range interactions colleagues",4.05014798869905
"6","Social media",4.09155951368389
"7","Video games (alone)",2.88143887795772
"8","Video games (online)",2.69080165650988
"9","Watching TV-shows or movies",4.41710410105151
"10","Helping others",3.91435557341908
"11","Preparing for the crisis",3.36302880438415
"12","Following government's advice",4.04415935404224
"13","My work/vocation",4.02841876380063
"14","Hobby",4.57996965604628
"15","God or Religion",2.44884079335299
"16","Knowledge of actions take by government or civil service",4.13957249566493
