"","country","govloc","govglob"
"1","Australia","1.98509687034277","-3.40387481371088"
"2","Brazil","-7.46436781609195","-1.25955967555041"
"3","Croatia","1.29468599033816","-2.41062801932367"
"4","Finland","5.42723004694836","-2.94339622641509"
"5","France","0.64957264957265","-2.75545851528384"
"6","Germany","3.25724637681159","-3.27436823104693"
"7","Italy","1.7570564516129","-2.85975609756098"
"8","Netherlands","3.57202505219207","-2.20833333333333"
"9","New Zealand","6.72251308900524","-4.23809523809524"
"10","Portugal","3.74931129476584","-0.836565096952909"
"11","United Kingdom","-1.00759013282732","-2.23003802281369"
"12","United States","-5.23214285714286","-0.915206063477025"
